Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is                                                         ,ham
@Apple will be adding more carrier support to the iPhone 4S (just announced)                                                                     ,ham
Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY                        ,ham
@RIM you made it too easy for me to switch to @Apple iPhone. See ya!                                                                             ,ham
I just realized that the reason I got into twitter was ios5 thanks @apple                                                                        ,ham
little bit disappointed with it! Should I move to @Android or @Apple @iphone                                                                     ,ham
The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace        ,ham
Great up close & personal event @Apple tonight in Regent St store!                                                                               ,ham
From which companies do you experience the best customer service aside from @zappos and @apple?                                                  ,ham
hope they call me lol                                                                                                                            ,ham
RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ...     ,ham
Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol            ,ham
greatly appreciated!                                                                                                                             ,ham
Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple     ,ham
greatly appreciated!                                                                                                                             ,ham
你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps       ,ham
I will publicly and ceremoniously burn my #BlackBerry.”                                                                                          ,ham
I will publicly and ceremoniously burn my #BlackBerry.                                                                                           ,ham
Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards                                         ,ham
out of warranty.                                                                                                                                 ,ham
@DailyDealChat @apple Thanks!!                                                                                                                   ,ham
iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes                                                          ,ham
@apple..good ipad                                                                                                                                ,ham
@apple @siri is efffing amazing!!                                                                                                                ,ham
Amazing new @Apple iOs 5 feature.  http://t.co/jatFVfpM                                                                                          ,ham
sweet! http://t.co/0yWvbe1Z                                                                                                                      ,ham
sweet! http://t.co/0yWvbe1Z                                                                                                                      ,ham
you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered                                                      ,ham
                                                                                                                                                 ,ham
                                                                                                                                              ,ham
We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16      ,ham
&lt;3 #ios5 @apple                                                                                                                               ,ham
---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?                                                        ,ham
RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ...     ,ham
I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!        ,ham
@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN                                                  ,ham
At the bus with my iPhone ;) thxx @apple                                                                                                         ,ham
so is iTunes on the mobile devices.  I was talking about desktop app.                                                                            ,ham
NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad       ,ham
@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA     ,ham
@blackberry is like the #Titanic and it seems everyone is running for the @apple #iPhone life rafts and there won't be enough for everyone!      ,ham
@bkad5161 than apologize to @apple ;)                                                                                                            ,ham
@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX                                                                ,ham
